text,label
easily the most thoughtful fictional examination of the root causes of anti-semitism ever seen on screen .,1
the material and the production itself are little more than routine .,0
"a spunky , original take on a theme that will resonate with singles of many ages .",1
"if it's another regurgitated action movie you're after , there's no better film than half past dead .",0
"boy oh boy , it's a howler .",0
a derivative collection of horror and sci-fi cliches .,0
kinnear's performance is a career-defining revelation .,1
the two leads chomp considerably more scenery with their acting than fire-breathing monsters barbecue with their breath . . .,1
"the performances of the children , untrained in acting , have an honesty and dignity that breaks your heart .",1
a raunchy and frequently hilarious follow-up to the gifted korean american stand-up's i'm the one that i want .,1
"together , miller , kuras and the actresses make personal velocity into an intricate , intimate and intelligent journey .",1
"the leaping story line , shaped by director peter kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",1
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1
it's a beautifully accomplished lyrical meditation on a bunch of despondent and vulnerable characters living in the renown chelsea hotel . . .,1
reign of fire just might go down as one of the all-time great apocalypse movies .,1
"angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale .",1
everything about it from the bland songs to the colorful but flat drawings is completely serviceable and quickly forgettable .,0
a brilliant gag at the expense of those who paid for it and those who pay to see it .,1
its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story .,1
"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor .",1
traffics in the kind of prechewed racial clichés that have already been through the corporate stand-up-comedy mill .,0
"it's all gratuitous before long , as if schwentke were fulfilling a gross-out quota for an anticipated audience demographic instead of shaping the material to fit the story .",0
a lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her .,0
"less dizzying than just dizzy , the jaunt is practically over before it begins .",0
"offers big , fat , dumb laughs that may make you hate yourself for giving in . ah , what the hell .",1
"poignant and moving , a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter .",1
an extraordinary swedish film about the soul adventure of marriage -- the kind of intimate and character-driven film that bille august does best .,1
"the idea of 49-year-old roberto benigni playing the wooden boy pinocchio is scary enough . the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .",0
don't waste your money .,0
"guillen rarely gets beneath the surface of things . she lists ingredients , but never mixes and stirs .",0
"while bollywood/hollywood will undoubtedly provide its keenest pleasures to those familiar with bombay musicals , it also has plenty for those ( like me ) who aren't .",1
those of you who are not an eighth grade girl will most likely doze off during this one .,0
"you might not want to hang out with samantha , but you'll probably see a bit of yourself in her unfinished story .",1
"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment .",1
"a moving , if uneven , success .",1
"given the fact that virtually no one is bound to show up at theatres for it , the project should have been made for the tube .",0
"even if you can't pronounce "" gyro "" correctly , you'll appreciate much of vardalos' humor , which transcends ethnic boundaries .",1
"while kids will probably eat the whole thing up , most adults will be way ahead of the plot .",0
"a fantastic premise anchors this movie , but what it needs is either a more rigid , blair witch-style commitment to its mockumentary format , or a more straightforward , dramatic treatment , with all the grandiosity that that implies .",1
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year .",1
a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess .,0
"birthday girl is an amusing joy ride , with some surprisingly violent moments .",1
"typical animé , with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names .",0
"from spiritual rebirth to bruising defeat , vincent's odyssey resonates in a profound way , comparable to the classic films of jean renoir .",1
"one of the best , most understated performances of [jack nicholson's] career .",1
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) .,0
[macdowell] ventures beyond her abilities several times here and reveals how bad an actress she is .,0
"a 94-minute travesty of unparalleled proportions , writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum .",0
"sit through this one , and you won't need a magic watch to stop time ; your dvd player will do it for you .",0
it's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that's good is ultimately scuttled by a plot that's just too boring and obvious .,0
"though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama .",1
an excellent romp that boasts both a heart and a mind .,1
just offbeat enough to keep you interested without coming close to bowling you over .,1
uneasy mishmash of styles and genres .,0
"not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired .",0
"a gorgeous , witty , seductive movie .",1
"unofficially , national lampoon's van wilder is son of animal house . officially , it is twice as bestial but half as funny .",0
"even if invincible is not quite the career peak that the pianist is for roman polanski , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .",1
"contrived , maudlin and cliche-ridden . . . if this sappy script was the best the contest received , those rejected must have been astronomically bad .",0
"if you liked such movies as notting hill , four weddings and a funeral , bridget jones' diary or high fidelity , then you won't want to miss about a boy .",1
a solidly seaworthy chiller .,1
"with the dog days of august upon us , think of this dog of a movie as the cinematic equivalent of high humidity .",0
"the most amazing super-sized dosage of goofball stunts any "" jackass "" fan could want .",1
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos .",0
"the concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",1
"bigelow offers some flashy twists and turns that occasionally fortify this turgid fable . but for the most part , the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness .",0
needed a little less bling-bling and a lot more romance .,0
"i felt sad for lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by rohmer , for example .",0
i felt trapped and with no obvious escape for the entire 100 minutes .,0
"the script kicks in , and mr . hartley's distended pace and foot-dragging rhythms follow .",0
"sparkles in its deft portrait of tinseltown's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",1
"it's not particularly subtle . . . however , it still manages to build to a terrifying , if obvious , conclusion .",1
warm and exotic .,1
"famuyiwa's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",1
feels like the grittiest movie that was ever made for the lifetime cable television network .,0
